UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency
353,TP,1,1001,0,LHR,GRU,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,2,TP,83,LIS,LIS,PT,F,17:20,GRU,GRU,BR,N,1,00:20,339,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
353,TP,1,1001,0,LHR,GRU,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,3,TP,82,GRU,GRU,BR,N,19:25,LIS,LIS,PT,3,1,08:20,339,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
353,TP,1,1001,0,LHR,GRU,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,4,TP,1352,LIS,LIS,PT,3,09:45,LHR,LON,GB,5,0,12:40,32N,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
352,AY,1,1001,0,LHR,GRR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,1,AY,6912,LHR,LON,GB,5,16:05,PHL,PHL,US,A,0,19:05,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
352,AY,1,1001,0,LHR,GRR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,6192,PHL,PHL,US,F,20:40,GRR,GRR,US,N,0,22:58,E75,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
352,AY,1,1001,0,LHR,GRR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,3433,GRR,GRR,US,N,17:37,ORD,ORD,GB,3,0,17:45,E75,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
352,AY,1,1001,0,LHR,GRR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,4,AY,7005,ORD,ORD,US,3,20:35,LHR,LON,GB,5,1,10:15,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
351,AY,1,1001,0,LHR,GRR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,1,AY,6912,LHR,LON,GB,5,16:05,PHL,PHL,US,A,0,19:05,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
351,AY,1,1001,0,LHR,GRR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,6192,PHL,PHL,US,F,20:40,GRR,GRR,US,N,0,22:58,E75,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
351,AY,1,1001,0,LHR,GRR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,3433,GRR,GRR,US,N,17:37,ORD,ORD,GB,3,0,17:45,E75,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
