UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo
165,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,1,TK,1988,LHR,LON,GB,2,07:05,IST,IST,TR,N,0,13:45,321,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included
165,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,2,TK,569,IST,IST,TR,N,19:35,EBB,EBB,UG,N,1,03:55,73J,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included
165,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,3,TK,612,EBB,EBB,UG,N,04:50,IST,IST,TR,N,0,11:30,73J,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included
165,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,4,TK,1985,IST,IST,TR,N,13:25,LHR,LON,GB,2,0,14:35,77W,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included
164,AY,1,1001,0,LHR,ROC,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5936,LHR,LON,GB,3,11:20,BOS,BOS,US,N,0,13:55,789,False,0,No check-in baggage included in the fare,0,0 Pcs included
164,AY,1,1001,0,LHR,ROC,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5728,BOS,BOS,US,N,15:26,ROC,ROC,US,A,0,16:57,ERD,False,0,No check-in baggage included in the fare,0,0 Pcs included
164,AY,1,1001,0,LHR,ROC,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,5645,ROC,ROC,US,A,07:00,ORD,ORD,US,N,0,07:50,E75,True,0,No check-in baggage included in the fare,1,0 Pcs included
164,AY,1,1001,0,LHR,ROC,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,5752,ORD,ORD,US,N,09:05,LHR,LON,GB,3,0,22:40,772,True,0,No check-in baggage included in the fare,1,0 Pcs included
163,AY,1,1001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,4029,LHR,LON,GB,3,10:35,MIA,MIA,US,N,0,15:40,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included
163,AY,1,1001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,6844,MIA,MIA,US,N,19:45,IAH,IAH,US,A,0,21:31,319,False,0,No check-in baggage included in the fare,0,0 Pcs included
163,AY,1,1001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,3104,IAH,IAH,US,A,13:35,CLT,CLT,US,N,0,17:13,320,True,0,No check-in baggage included in the fare,1,0 Pcs included
163,AY,1,1001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,5669,CLT,CLT,US,N,17:55,LHR,LON,GB,3,1,07:00,772,True,0,No check-in baggage included in the fare,1,0 Pcs included
162,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,1,TK,1980,LHR,LON,GB,2,11:35,IST,IST,TR,N,0,18:25,77W,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included
162,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,2,TK,612,IST,IST,TR,N,19:35,EBB,EBB,UG,N,1,03:55,73J,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included
162,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,3,TK,612,EBB,EBB,UG,N,04:50,IST,IST,TR,N,0,11:30,73J,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included
162,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,4,TK,1985,IST,IST,TR,N,13:25,LHR,LON,GB,2,0,14:35,77W,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included
161,AY,1,1001,0,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,4029,LHR,LON,GB,3,10:35,MIA,MIA,US,N,0,15:40,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included
161,AY,1,1001,0,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,4750,MIA,MIA,US,N,17:30,ATL,ATL,US,N,0,19:31,319,False,0,No check-in baggage included in the fare,0,0 Pcs included
161,AY,1,1001,0,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,3048,ATL,ATL,US,N,06:23,ORD,ORD,US,3,0,07:22,319,True,0,No check-in baggage included in the fare,1,0 Pcs included
161,AY,1,1001,0,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,5752,ORD,ORD,US,3,09:05,LHR,LON,GB,3,0,22:40,772,True,0,No check-in baggage included in the fare,1,0 Pcs included
160,TP,1,1001,0,LHR,ABJ,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,1,TP,1363,LHR,LON,GB,2,06:00,LIS,LIS,PT,N,0,08:35,320,False,0,No check-in baggage included in the fare,0,0 Pcs included
160,TP,1,1001,0,LHR,ABJ,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,2,TP,1507,LIS,LIS,PT,N,10:00,ABJ,ABJ,CI,N,0,15:15,320,False,0,No check-in baggage included in the fare,0,0 Pcs included
160,TP,1,1001,0,LHR,ABJ,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,3,TP,1510,ABJ,ABJ,CI,N,00:15,LIS,LIS,PT,N,0,05:35,320,True,0,No check-in baggage included in the fare,1,0 Pcs included
160,TP,1,1001,0,LHR,ABJ,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,4,TP,1338,LIS,LIS,BE,N,07:10,LGW,LON,GB,2,0,09:50,320,True,0,No check-in baggage included in the fare,1,0 Pcs included
159,AY,1,1001,0,LHR,CVG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5746,LHR,LON,GB,5,09:15,ORD,ORD,US,5,0,11:50,788,False,0,No check-in baggage included in the fare,0,0 Pcs included
159,AY,1,1001,0,LHR,CVG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5306,ORD,ORD,US,3,14:55,CVG,CVG,US,N,0,17:09,E75,False,0,No check-in baggage included in the fare,0,0 Pcs included
159,AY,1,1001,0,LHR,CVG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,3400,CVG,CVG,US,N,10:49,DFW,DFW,US,0,0,12:13,E75,True,0,No check-in baggage included in the fare,1,0 Pcs included
159,AY,1,1001,0,LHR,CVG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,4009,DFW,DFW,US,0,17:00,LHR,LON,GB,5,1,08:00,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included
158,BA,1,1001,1,LHR,SJO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,IB,1,BA,7055,LHR,LON,GB,5,14:20,MAD,MAD,ES,4,0,19:05,321,False,0,No check-in baggage included in the fare,0,0 Pcs included
158,BA,1,1001,1,LHR,SJO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,IB,2,BA,4217,MAD,MAD,ES,4S,06:23,SJO,SJO,CR,M,0,07:22,332,False,0,No check-in baggage included in the fare,0,0 Pcs included
158,BA,1,1001,1,LHR,SJO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,BA,2404,SJO,SJO,CR,M,09:05,MIA,MIA,US,N,0,22:40,319,True,0,No check-in baggage included in the fare,1,0 Pcs included
158,BA,1,1001,1,LHR,SJO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,BA,1529,MIA,MIA,US,N,09:05,LHR,LON,GB,3,1,22:40,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included
157,AY,1,1001,1,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5943,LHR,LON,GB,5,14:20,ATL,ATL,US,I,0,19:05,788,False,0,No check-in baggage included in the fare,0,0 Pcs included
157,AY,1,1001,1,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,3048,ATL,ATL,US,N,06:23,ORD,ORD,US,3,0,07:22,319,True,0,No check-in baggage included in the fare,1,0 Pcs included
157,AY,1,1001,1,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,5752,ORD,ORD,US,3,09:05,LHR,LON,GB,3,0,22:40,772,True,0,No check-in baggage included in the fare,1,0 Pcs included
156,AY,1,1001,1,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5943,LHR,LON,GB,5,14:20,ATL,ATL,US,I,0,19:05,788,False,0,No check-in baggage included in the fare,0,0 Pcs included
156,AY,1,1001,1,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,3028,ATL,ATL,US,N,16:30,MIA,MIA,US,N,0,18:18,E75,True,0,No check-in baggage included in the fare,1,0 Pcs included
156,AY,1,1001,1,LHR,ATL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,4028,MIA,MIA,US,N,19:30,LHR,LON,GB,3,1,09:15,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included
155,BA,1,1001,0,LHR,CUN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,BA,1590,LHR,LON,GB,5,11:50,DFW,DFW,US,D,0,16:30,77W,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included
155,BA,1,1001,0,LHR,CUN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,BA,1924,DFW,DFW,US,N,20:10,CUN,CUN,MX,3,0,21:00,321,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included
155,BA,1,1001,0,LHR,CUN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,BA,1668,CUN,CUN,MX,3,12:20,DFW,DFW,US,D,1,15:15,321,True,0,No check-in baggage included in the fare,1,0 Pcs included
155,BA,1,1001,0,LHR,CUN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,BA,192,DFW,DFW,US,D,18:45,LHR,LON,GB,5,0,09:50,781,True,0,No check-in baggage included in the fare,1,0 Pcs included
